"Major area, region, country or area of destination",Notes,Country code,Total population of both sexes at mid-year (thousands),,,,,,Total male population at mid-year (thousands),,,,,,Total female population at mid-year (thousands),,,,,
Armenia,,51,  3 545,  3 223,  3 076,  3 015,  2 963,  3 018,  1 719,  1 528,  1 445,  1 479,  1 523,  1 400,  1 825,  1 695,  1 631,  1 536,  1 440,  1 618
Azerbaijan,(9),31,  7 217,  7 771,  8 118,  8 563,  9 100,  9 754,  3 535,  3 803,  3 966,  4 218,  4 510,  4 856,  3 681,  3 967,  4 151,  4 345,  4 590,  4 898
Bahrain,,48,   496,   564,   667,   867,  1 261,  1 377,   286,   325,   381,   521,   787,   854,   210,   239,   286,   346,   474,   524
Cyprus,(10),196,   767,   855,   943,  1 033,  1 104,  1 165,   389,   432,   475,   522,   563,   594,   378,   424,   468,   510,   540,   571
Georgia,(11),268,  5 460,  5 067,  4 744,  4 475,  4 250,  4 000,  2 595,  2 406,  2 245,  2 111,  2 018,  1 908,  2 865,  2 661,  2 499,  2 364,  2 232,  2 092
Iraq,,368,  17 478,  20 218,  23 575,  27 018,  30 868,  36 423,  8 824,  10 200,  11 899,  13 660,  15 608,  18 437,  8 655,  10 018,  11 676,  13 358,  15 260,  17 986
Israel,,376,  4 499,  5 332,  6 014,  6 604,  7 420,  8 064,  2 245,  2 633,  2 964,  3 258,  3 665,  3 999,  2 254,  2 698,  3 050,  3 346,  3 755,  4 065
Jordan,,400,  3 358,  4 320,  4 767,  5 333,  6 518,  7 595,  1 764,  2 270,  2 483,  2 763,  3 360,  3 889,  1 594,  2 051,  2 284,  2 570,  3 158,  3 706
Kuwait,,414,  2 059,  1 637,  1 929,  2 264,  3 059,  3 892,  1 098,   957,  1 133,  1 328,  1 724,  2 186,   961,   680,   797,   935,  1 335,  1 706
Lebanon,,422,  2 703,  3 033,  3 235,  3 987,  4 337,  5 851,  1 333,  1 504,  1 605,  2 026,  2 212,  2 939,  1 370,  1 529,  1 630,  1 961,  2 125,  2 912
Oman,,512,  1 812,  2 192,  2 239,  2 507,  2 944,  4 491,  1 009,  1 300,  1 255,  1 401,  1 756,  2 979,   803,   892,   985,  1 106,  1 188,  1 512
Qatar,,634,   476,   501,   593,   837,  1 766,  2 235,   319,   330,   386,   558,  1 330,  1 624,   157,   171,   208,   279,   435,   612
Saudi Arabia,,682,  16 361,  18 854,  21 392,  24 745,  28 091,  31 540,  9 155,  10 504,  11 782,  13 810,  15 820,  17 836,  7 207,  8 350,  9 610,  10 935,  12 271,  13 704
State of Palestine,(12),275,  2 101,  2 618,  3 224,  3 579,  4 069,  4 668,  1 063,  1 327,  1 634,  1 815,  2 063,  2 367,  1 038,  1 292,  1 589,  1 764,  2 006,  2 302
Syrian Arab Republic,,760,  12 452,  14 332,  16 354,  18 133,  20 721,  18 502,  6 326,  7 281,  8 303,  9 277,  10 479,  9 367,  6 125,  7 051,  8 051,  8 856,  10 242,  9 136
Turkey,,792,  53 995,  58 522,  63 240,  67 861,  72 310,  78 666,  26 637,  28 820,  31 114,  33 364,  35 525,  38 675,  27 358,  29 702,  32 126,  34 496,  36 786,  39 991
United Arab Emirates,,784,  1 811,  2 350,  3 050,  4 482,  8 329,  9 157,  1 192,  1 566,  2 066,  3 186,  6 232,  6 708,   620,   784,   984,  1 296,  2 097,  2 449
Yemen,,887,  11 961,  15 266,  17 795,  20 504,  23 592,  26 832,  5 924,  7 741,  9 001,  10 356,  11 918,  13 553,  6 037,  7 525,  8 794,  10 149,  11 674,  13 279
Europe,,908,  721 086,  727 778,  726 407,  729 007,  735 395,  738 442,  347 356,  350 901,  350 268,  351 438,  354 425,  356 167,  373 730,  376 878,  376 140,  377 569,  380 970,  382 275
Eastern Europe,,923,  310 027,  309 569,  303 789,  297 482,  294 591,  292 943,  146 931,  146 777,  143 759,  140 238,  138 533,  137 872,  163 096,  162 792,  160 030,  157 244,  156 059,  155 071
Belarus,,112,  10 232,  10 160,  9 952,  9 641,  9 492,  9 496,  4 800,  4 765,  4 673,  4 502,  4 414,  4 414,  5 432,  5 395,  5 279,  5 139,  5 078,  5 082
Bulgaria,,100,  8 821,  8 358,  8 001,  7 683,  7 407,  7 150,  4 349,  4 093,  3 898,  3 740,  3 606,  3 473,  4 472,  4 265,  4 102,  3 942,  3 801,  3 676
Czech Republic,,203,  10 324,  10 336,  10 263,  10 231,  10 507,  10 543,  5 012,  5 022,  4 992,  4 982,  5 155,  5 180,  5 312,  5 314,  5 271,  5 249,  5 351,  5 363
Hungary,,348,  10 385,  10 352,  10 224,  10 096,  10 015,  9 855,  4 988,  4 946,  4 865,  4 792,  4 757,  4 691,  5 397,  5 406,  5 359,  5 304,  5 258,  5 164
Poland,,616,  38 195,  38 592,  38 486,  38 464,  38 575,  38 612,  18 572,  18 728,  18 681,  18 643,  18 671,  18 674,  19 623,  19 864,  19 805,  19 820,  19 904,  19 938
Republic of Moldova,(13),498,  4 364,  4 339,  4 201,  4 158,  4 084,  4 069,  2 080,  2 073,  2 011,  1 991,  1 964,  1 956,  2 284,  2 267,  2 190,  2 166,  2 121,  2 113
Romania,,642,  23 489,  22 965,  22 128,  21 408,  20 299,  19 511,  11 580,  11 284,  10 825,  10 439,  9 860,  9 451,  11 910,  11 681,  11 303,  10 969,  10 439,  10 060
Russian Federation,,643,  147 569,  148 293,  146 401,  143 623,  143 158,  143 457,  69 087,  69 571,  68 511,  66 836,  66 390,  66 644,  78 481,  78 723,  77 890,  76 786,  76 768,  76 813
Slovakia,,703,  5 278,  5 363,  5 386,  5 385,  5 407,  5 426,  2 578,  2 611,  2 616,  2 612,  2 621,  2 630,  2 700,  2 752,  2 770,  2 774,  2 786,  2 796
Ukraine,,804,  51 370,  50 812,  48 746,  46 795,  45 647,  44 824,  23 885,  23 684,  22 686,  21 701,  21 095,  20 759,  27 485,  27 128,  26 060,  25 095,  24 553,  24 064
Northern Europe,,924,  92 040,  93 153,  94 397,  96 239,  99 682,  102 358,  44 778,  45 323,  46 015,  47 089,  48 939,  50 432,  47 263,  47 831,  48 383,  49 149,  50 743,  51 926
Channel Islands,(14),830,   141,   144,   149,   154,   160,   164,   68,   70,   73,   76,   79,   81,   72,   74,   76,   78,   81,   83
Denmark,,208,  5 140,  5 233,  5 338,  5 418,  5 551,  5 669,  2 535,  2 584,  2 640,  2 682,  2 753,  2 814,  2 606,  2 649,  2 698,  2 735,  2 798,  2 855
